2026-05-25 09:50:49,543 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Java Serialization Object
2026-05-25 09:50:49,543 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Reverse Tabnabbing
2026-05-25 09:50:49,543 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Secure Pages Include Mixed Content
2026-05-25 09:50:49,543 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Modern Web Application
2026-05-25 09:50:49,543 [main ] INFO  ScanRuleManager - Loaded passive scan rule: PII Disclosure
2026-05-25 09:50:49,543 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Script Served From Malicious Domain (polyfill)
2026-05-25 09:50:49,543 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Retrieved from Cache
2026-05-25 09:50:49,543 [main ] INFO  ScanRuleManager - Loaded passive scan rule: HTTP Server Response Header
2026-05-25 09:50:49,543 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Strict-Transport-Security Header
2026-05-25 09:50:49,543 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Sub Resource Integrity Attribute Missing
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Timestamp Disclosure
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: User Controllable Charset
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Cookie Poisoning
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: User Controllable HTML Element Attribute (Potential XSS)
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: User Controllable JavaScript Event (XSS)
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Off-site Redirect
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Username Hash Found
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Viewstate
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: X-AspNet-Version Response Header
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: X-Backend-Server Header Information Leak
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: X-ChromeLogger-Data (XCOLD) Header Information Leak
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: X-Content-Type-Options Header Missing
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: X-Debug-Token Information Leak
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s)
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: ZAP is Out of Date
2026-05-25 09:50:49,544 [main ] INFO  ScanRuleManager - Loaded passive scan rule: WSDL File Detection
2026-05-25 09:50:49,545 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Script Passive Scan Rules
2026-05-25 09:50:49,545 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Vulnerable JS Library (Powered by Retire.js)
2026-05-25 09:50:49,546 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Authentication Request Identified
2026-05-25 09:50:49,546 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Session Management Response Identified
2026-05-25 09:50:49,546 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Verification Request Identified
2026-05-25 09:50:49,546 [main ] INFO  ScanRuleManager - Loaded passive scan rule: Stats Passive Scan Rule
2026-05-25 09:50:49,849 [main ] WARN  SeleniumManager - Unable to discover proper geckodriver version in offline mode
2026-05-25 09:50:49,850 [main ] WARN  FirefoxProfileManager - Unable to find Firefox binary through SeleniumManager.
2026-05-25 09:50:49,850 [main ] ERROR ExtensionClientIntegration - Failed to get or create Firefox profile zap-client-profile
2026-05-25 09:50:49,851 [main ] INFO  ExtensionNetwork - Creating new root CA certificate.
2026-05-25 09:50:50,131 [main ] INFO  ExtensionNetwork - New root CA certificate created.
2026-05-25 09:50:51,044 [ZAP-SpiderInitThread-0] INFO  SpiderThread - Starting spidering scan on http://127.0.0.1:8789/health at 2026-05-25T09:50:51.044-0400
2026-05-25 09:50:51,045 [ZAP-SpiderInitThread-0] INFO  Spider - Spider initializing...
2026-05-25 09:50:51,049 [ZAP-SpiderInitThread-0] INFO  Spider - Starting spider...
2026-05-25 09:50:51,056 [ZAP-SpiderThreadPool-0-thread-3] INFO  Spider - Spidering process is complete. Shutting down...
2026-05-25 09:50:51,057 [ZAP-SpiderShutdownThread-0] INFO  SpiderThread - Spider scanning complete: true on http://127.0.0.1:8789/health at 2026-05-25T09:50:51.057-0400
2026-05-25 09:50:54,556 [ZAP-QuickStart-AttackThread] INFO  Scanner - scanner with ID 0 started
2026-05-25 09:50:54,564 [ZAP-Scanner-0] INFO  HostProcess - Scanning 1 node(s) from http://127.0.0.1:8789
2026-05-25 09:50:54,564 [ZAP-Scanner-0] INFO  HostProcess - start host http://127.0.0.1:8789 | PathTraversalScanRule strength MEDIUM threshold MEDIUM
2026-05-25 09:50:54,567 [ZAP-Scanner-0] INFO  HostProcess - completed host/plugin http://127.0.0.1:8789 | PathTraversalScanRule in 0.003s with 0 message(s) sent and 0 alert(s) raised.
2026-05-25 09:50:54,567 [ZAP-Scanner-0] INFO  HostProcess - start host http://127.0.0.1:8789 | RemoteFileIncludeScanRule strength MEDIUM threshold MEDIUM
2026-05-25 09:50:54,568 [ZAP-Scanner-0] INFO  HostProcess - completed host/plugin http://127.0.0.1:8789 | RemoteFileIncludeScanRule in 0.001s with 0 message(s) sent and 0 alert(s) raised.
2026-05-25 09:50:54,568 [ZAP-Scanner-0] INFO  HostProcess - start host http://127.0.0.1:8789 | SourceCodeDisclosureWebInfScanRule strength MEDIUM threshold MEDIUM
2026-05-25 09:50:54,568 [ZAP-Scanner-0] INFO  HostProcess - start host http://127.0.0.1:8789 | ShellShockScanRule strength MEDIUM threshold MEDIUM
2026-05-25 09:50:54,571 [ZAP-ActiveScanner-0] INFO  HostProcess - completed host/plugin http://127.0.0.1:8789 | SourceCodeDisclosureWebInfScanRule in 0.002s with 2 message(s) sent and 0 alert(s) raised.
2026-05-25 09:50:54,571 [ZAP-Scanner-0] INFO  HostProcess - completed host/plugin http://127.0.0.1:8789 | ShellShockScanRule in 0.003s with 0 message(s) sent and 0 alert(s) raised.
2026-05-25 09:50:54,571 [ZAP-Scanner-0] INFO  HostProcess - start host http://127.0.0.1:8789 | HeartBleedActiveScanRule strength MEDIUM threshold MEDIUM
2026-05-25 09:50:54,571 [ZAP-Scanner-0] INFO  HostProcess - start host http://127.0.0.1:8789 | SourceCodeDisclosureCve20121823ScanRule strength MEDIUM threshold MEDIUM
2026-05-25 09:50:54,574 [ZAP-ActiveScanner-0] INFO  HostProcess - completed host/plugin http://127.0.0.1:8789 | HeartBleedActiveScanRule in 0.003s with 3 message(s) sent and 0 alert(s) raised.
2026-05-25 09:50:54,574 [ZAP-Scanner-0] INFO  HostProcess - completed host/plugin http://127.0.0.1:8789 | SourceCodeDisclosureCve20121823ScanRule in 0.003s with 1 message(s) sent and 0 alert(s) raised.
